LocID,Location,PopTotal,PopDensity
1534,Southern Common Market (MERCOSUR),306365.495,22.473
1536,Greater Arab Free Trade Area (GAFTA),406373.337,35.875
1538,Economic Community of Central African States (ECCAS),198465.942,30.313
1540,Economic Community of West African States (ECOWAS),386908.388,76.875
1543,West African Economic and Monetary Union (UEMOA),127107.468,36.67
1544,European Free Trade Agreement (EFTA),14347.277,28.4
1545,Central European Free Trade Agreement (CEFTA),25839.142,88.086
1546,Eurasian Economic Community (Eurasec),222594.686,11.109
1547,Economic Cooperation Organization (ECO),504210.404,64.383
1549,European Union (EU: 15),408593.654,130.707
1550,European Community (EC: 12),384069.996,164.88
1552,New EU member states (joined since 2004),103923.275,93.31
1555,North Atlantic Treaty Organization (NATO),940604.181,41.107
1556,Group of 77 (G77),6060094.962,81.595
1557,Association of Southeast Asian Nations (ASEAN),660718.726,152.738
1559,"League of Arab States (LAS, informal name: Arab League)",428166.389,32.909
1560,African Union,1306903.03,44.085
1561,Gulf Cooperation Council (GCC),57694.359,22.423
1563,East African Community (EAC),190068.644,82.066
1564,Southern African Development Community (SADC),353940.129,36.688
1566,Commonwealth of Independent States (CIS),289579.128,13.64
1569,Bolivarian Alliance for the Americas (ALBA),58535.065,26.668
1570,Organization of the Islamic Conference (OIC),1872842.323,60.068
1585,UNICEF Programme Regions: Europe and Central Asia (CEECIS),279293.796,44.393
1586,UNICEF Programme Regions: East Asia and Pacific (EAPRO),2129737.711,133.824
1587,UNICEF Programme Regions: Eastern and Southern Africa (ESARO),528864.083,50.194
1589,UNICEF Programme Regions: Latin America and Caribbean (LACRO),643172.779,32.124
1590,UNICEF Programme Regions: Middle East and North Africa (MENARO),490260.787,37.773
1591,UNICEF Programme Regions: South Asia (ROSA),1835297.503,384.631
1592,UNICEF Programme Regions: West and Central Africa (WCARO),533917.214,47.192
1593,WHO: African region (AFRO),1091758.856,46.247
1594,WHO: European Region (EURO),930166.618,34.399
1595,WHO: Eastern Mediterranean Region (EMRO),712276.291,56.34
1596,WHO: Americas (AMRO),1009950.13,26.389
1597,WHO: South-East Asia region (SEARO),2001946.277,309.953
1598,WHO: Western Pacific region (WPRO),1922790.054,90.626
1599,United Nations Member States,7707903.51,59.373
1607,Land-locked Countries,583340.277,33.976
1610,UNFPA: Asia and the Pacific (AP),4047949.107,181.404
1611,UNFPA: Arab States (AS),370070.433,38.095
1612,UNFPA: Eastern Europe and Central Asia (EECA),248170.834,42.183
1613,UNFPA: Latin America and the Caribbean (LAC),644001.843,32.147
1615,Non-Self-Governing Territories,1731.701,5.712
1636,Land-locked Developing Countries (LLDC),520972.691,31.502
1637,Small Island Developing States (SIDS),71428.827,59.714
1638,Countries with Access to the Sea,7130128.743,63.141
1674,Land-locked Countries (Others),62367.586,98.771
1703,UNFPA: East and Southern Africa (ESA),601481.415,49.391
1704,UNFPA: West and Central Africa (WCA),447126.646,49.424
1730,United Nations Economic Commission for Africa (UN-ECA),1306320.572,44.464
1735,UN-ECE: member countries,1296680.593,28.636
1736,ECE: UNECE-52,1296492.596,28.632
1737,ECE: North America-2,366475.955,20.091
1744,ECLAC: Latin America,636072.786,32.41
1745,United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),648117.584,32.201
1746,ECLAC: The Caribbean,12044.798,24.015
1760,United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,4590691.95,88.272
1765,ESCWA: member countries,367845.981,36.872
1801,World Bank Regional Groups (developing only),6452517.055,70.258
1818,UNICEF PROGRAMME REGIONS,6440543.873,78.708
1819,UNFPA Regions,6358800.278,80.319
1820,WHO Regions,7668888.226,59.34
1822,UNITED NATIONS Regional Groups of Member States,7707903.418,59.373
1823,African Group,1306320.572,44.464
1824,Asia-Pacific Group,4582136.259,146.198
1825,Eastern European Group,340313.688,18.217
1826,Latin American and Caribbean Group (GRULAC),643474.175,32.125
1827,Western European and Others Group (WEOG),919088.423,29.497
1829,Europe and Northern America,1113783.759,27.308
1830,Latin America and the Caribbean,648120.956,32.182
1832,Eastern and South-Eastern Asia,2334622.966,146.821
1833,Northern Africa and Western Asia,517105.558,41.123
1835,Oceania (excluding Australia and New Zealand),12141.786,22.449
2029,UNICEF Regions: Europe and Central Asia,922025.316,34.122
2030,UNICEF Regions: Western Europe,496859.26,114.143
2031,UNICEF Regions: Latin America and Caribbean,648120.956,32.182
2032,UNICEF Regions: North America,366600.944,19.655
2033,UNICEF Regions: Sub-Saharan Africa,1109096.648,46.908
2034,UNICEF Regions: Eastern Europe and Central Asia,425166.056,18.756
2035,UNICEF REGIONS,7713468.205,59.291
2036,UNICEF Regions: East Asia and Pacific,2376751.014,97.457
2037,UNICEF Regions: Middle East and North Africa,455575.824,39.689
2038,UNICEF Regions: South Asia,1835297.503,384.631
2039,UNICEF Regions: Eastern and Southern Africa,575173.373,46.649
2040,UNICEF Regions: West and Central Africa,533923.275,47.191
2041,UNICEF Programme Regions: Latin America,640775.552,32.019
2042,UNICEF Programme Regions: Eastern Caribbean,2397.227,248.675
2044,ESCAP: WB income groups,4590672.789,88.273
2045,ESCAP: WB Low income econ.,92316.63,100.714
2046,ESCAP: WB Lower middle income econ.,2387495.225,231.624
2047,ESCAP: WB Upper middle income econ.,1887677.496,58.363
2048,ESCAP: WB High income econ.,223183.438,26.452
2049,ESCAP: HDI groups,4590691.95,88.272
2050,ESCAP: low HDI,1911735.616,297.845
2051,ESCAP: lower middle HDI,2057885.279,135.973
2052,ESCAP: upper middle HDI,398460.423,18.081
2053,ESCAP: high HDI,222610.632,26.453
2054,ESCAP: income groups,4590691.95,88.272
2055,ESCAP: lower middle income,580268.276,88.732
2056,ESCAP: upper middle income,1714557.469,57.986
2058,ESCAP: ADB Group A (Concessional assistance only),162966.739,71.714
2059,ESCAP: ADB Group B (OCR blend),1792323.367,283.533
2060,ESCAP: ADB Group C (Regular OCR only),2074290.326,129.007
2061,ESCAP: ADB Developing member countries (DMCs),4029580.432,163.321
2062,ESCWA: Arab countries,428166.389,32.909
2063,ESCWA: Maghreb countries,97996.994,20.662
2064,ESCWA: Mashreq countries,178706.825,103.994
2065,ESCWA: Gulf Cooperation Council countries,57694.359,22.423
2066,ESCWA: Arab least developed countries,93768.211,23.583
2067,Belt-Road Initiative (BRI),3353564.722,49.727
2068,Belt-Road Initiative: Africa,1164118.622,48.048
2069,Belt-Road Initiative: Asia,1552928.523,90.467
2070,Belt-Road Initiative: Europe,414572.416,21.705
2071,Belt-Road Initiative: Latin America and the Caribbean,206761.581,33.384
2072,Belt-Road Initiative: Pacific,15183.58,20.208
2073,Shanghai Cooperation Organization (SCO),3229909.042,97.977
2074,Commonwealth of Nations,2529752.075,84.391
2075,Commonwealth: Africa,569747.835,74.477
2076,Commonwealth: Asia,1805540.408,422.698
2077,Commonwealth: Caribbean and Americas,44231.064,4.734
2078,Commonwealth: Europe,69169.112,275.037
2079,Commonwealth: Pacific,41063.656,4.853
2080,African Union: Central Africa,154013.705,29.192
2081,African Union: Eastern Africa,382531.219,59.835
2082,African Union: Northern Africa,203493.226,28.925
2083,African Union: Southern Africa,179956.492,30.458
2084,African Union: Western Africa,386908.388,76.875
2085,Organization of American States (OAS),1009950.13,26.389
2086,Organization for Security and Co-operation in Europe (OSCE),1291387.201,27.586
2087,LLDC: Africa,332262.488,39.827
2088,LLDC: Asia,164025.746,24.641
2089,LLDC: Europe,6126.716,105.506
2090,LLDC: Latin America,18557.741,12.534
2091,SIDS Caribbean,43309.023,191.904
2092,SIDS Pacific,12129.02,22.432
2093,"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",15990.784,37.205
2094,Countries with Access to the Sea: Africa,975801.688,45.8
2095,Countries with Access to the Sea: Asia,4437345.52,182.034
2096,Countries with Access to the Sea: Europe,678689.328,31.647
2097,Countries with Access to the Sea: Latin America and the Caribbean,629563.215,33.741
2098,Countries with Access to the Sea: Northern America,366600.944,19.655
2099,Countries with Access to the Sea: Oceania,42128.048,4.964
5500,Central Asia,73212.111,18.644
5501,Southern Asia,1918211.396,299.715
